30, 30, -250, -138
30, 30, -207, -153
30, 30, -214, -117
30, 30, -181, -92
30, 30, -144, -164
30, 30, -151, -128
30, 30, -144, -92
30, 30, -108, -143
30, 30, -108, -105
30, 30, -71, -163
30, 30, -71, -105
30, 30, -34, -150
30, 30, -34, -105
30, 30, 4, -150
30, 30, 4, -105
30, 30, 58, -150
30, 30, 90, -150
30, 30, 176, -156
30, 30, 220, -156
30, 30, 220, -122
58, 28, 60, -105
30, 30, 60, -76
30, 30, 97, -76
30, 30, 60, -37
30, 30, 97, -37
30, 30, 142, -79
30, 30, 142, -47
30, 30, 252, -47
30, 30, 176, -37
30, 30, 220, -37
30, 30, 60, 3
30, 30, 97, 7
30, 30, 142, -15
30, 30, 142, 17
30, 30, 176, 7
30, 30, 291, 36
49, 38, 57, 43
50, 65, 143, 52
56, 86, 74, 85
59, 38, 76, 190
45, 15, 205, 44
25, 44, 225, 59
24, 55, 213, 111
70, 24, 143, 142
59, 38, 3, 206
86, 56, -26, 145
30, 30, 3, 104
30, 30, 3, 60
30, 30, -34, 60
30, 30, -34, 104
59, 38, -82, 206
30, 30, -134, 203
30, 30, -166, 214
30, 30, -198, 203
30, 30, -230, 214
30, 30, -167, 167
30, 30, -135, 167
30, 30, -103, 167
30, 30, -71, 167
30, 30, -186, 132
30, 30, -154, 132
30, 30, -122, 132
30, 30, -90, 132
30, 30, -167, 97
30, 30, -135, 97
30, 30, -103, 97
30, 30, -71, 97
30, 30, -186, 62
30, 30, -154, 62
30, 30, -122, 62
30, 30, -90, 62
30, 30, -226, 167
30, 30, -237, 135
30, 30, -226, 103
30, 30, -237, 71
30, 30, -90, 5
30, 30, -90, -35
30, 30, -124, -35
30, 30, -124, 5
30, 30, -158, 5
30, 30, -158, -35
40, 40, -201, -57
40, 40, -201, 17
10, 60, 53, -250
197, 10, 53, -176
